title,url,交通,所在地,物件種目,価格,坪単価,借地期間・地代（月額）,権利金,敷金 / 保証金,維持費等,その他一時金, ,設備,特記事項,備考,土地面積,坪数,最適用途,私道負担面積,土地権利,都市計画,用途地域,地勢,建ぺい率,容積率,接道状況,地目,国土法届出,セットバック,条件等,現況,引渡し（時期/方法）,物件番号,情報公開日,次回更新予定日
松江市 八束町遅江 住宅用地,https://www.athome.co.jp/tochi/1026821928/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 【バス】 54分 遅江 停歩2分 （電車ルート案内）,島根県松江市八束町遅江,土地,151.8万円 ローンシミュレーター,1万円,－,－,－ / －,－,なし, ,上水道、下水道,－,八束町遅江に１５０坪の広い土地が出ました！ 上水道：引込要（買主負担） 下水道：引込有 総区画：1区画,502.48m²（公簿）,151.99坪,住宅用地,なし,所有権,区域外,無指定,平坦,－,－,北 3.2m 公道 接面11.0m ・ 東 2.8m 公道 接面19.0m ・ 二方道路,宅地,－,－,－,更地,相談/現況渡,1026821928,2018年6月5日,2018年7月3日
松江駅 13分 住宅用地,https://www.athome.co.jp/tochi/6965562273/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 松江駅 徒歩13分 （電車ルート案内）,ＪＲ山陰本線 / 乃木駅 徒歩30分 （電車ルート案内）,島根県松江市西津田７丁目,土地,180万円 ローンシミュレーター,2.28万円,－,－,－ / －,－,－, ,－,－,－,261.15m²（公簿）,78.99坪,住宅用地,－,所有権,市街化区域,２種中高,－,60%,200%,－,宅地,－,－,－,更地,相談/現況渡,6965562273,2018年6月20日,2018年7月4日
江津駅 32分 住宅用地,https://www.athome.co.jp/tochi/6956067401/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 江津駅 徒歩32分 （電車ルート案内）,島根県江津市和木町,土地,240万円 ローンシミュレーター,3.33万円,－,－,－ / －,－,－, ,－,－,☆土地面積７２．２５坪♪更地♪,238.87m²（公簿）,72.25坪,住宅用地,－,所有権,市街化区域,１種中高,高台,60%,200%,北西 公道 接面5.2m,宅地,－,－,－,更地,相談/現況渡,6956067401,2018年6月12日,2018年6月26日
高浜駅 8分 住宅用地,https://www.athome.co.jp/tochi/5678452301/?DOWN=1&BKLISTID=001LPC&sref=list_simple,一畑電車大社線 / 高浜駅 徒歩8分 （電車ルート案内）,島根県出雲市矢尾町,土地,250万円 ローンシミュレーター,4.10万円,－,－,－ / －,－,－, ,上水道、下水道、都市ガス、電気,－,閑静な里山の住宅地。 自然に恵まれた住環境、出雲大社まで車で５分の立地。,201.81m²（公簿）,61.04坪,住宅用地,－,所有権,区域外,無指定,平坦,70%,200%,南 3.0m 公道 接面20.0m,宅地,－,－,－,建物有,相談/現況渡,5678452301,2018年6月4日,2018年7月2日
都野津駅 5分 住宅用地,https://www.athome.co.jp/tochi/6959896381/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 都野津駅 徒歩5分 （電車ルート案内）,島根県江津市都野津町,土地,280万円 ローンシミュレーター,4.03万円,－,－,－ / －,－,－, ,－,－,国道９号線沿い,230.00m²（公簿）,69.57坪,住宅用地,－,所有権,非線引区域,近隣商業,平坦,80%,200%,北西 11.0m 接面12.0m,畑,－,－,－,更地,相談/現況渡,6959896381,売買代金の4.32%+2.16万円,2018年6月21日,2018年7月5日
小田駅 13分 住宅用地,https://www.athome.co.jp/tochi/6956349144/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 小田駅 徒歩13分 （電車ルート案内）,島根県出雲市多伎町小田,土地,300万円 ローンシミュレーター,0.76万円,－,－,－ / －,－,－, ,浄化槽、プロパンガス,区画整理地内,２区画に分割可,1313.00m²（公簿）,397.18坪,住宅用地,－,所有権,非線引区域,無指定,高台,70%,200%,北 7.0m 公道 接面38.0m ・ 西 6.0m 公道 接面25.0m ・ 二方道路,雑種地,－,－,－,更地,即時/現況渡,6956349144,2018年4月3日,2018年6月26日
直江駅 2600ｍ 住宅用地,https://www.athome.co.jp/tochi/1979187801/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 直江駅 徒歩2600ｍ （電車ルート案内）,島根県出雲市斐川町併川,土地,648万円 ローンシミュレーター,8万円,－,－,－ / －,－,水道メーター負担金：63000円、下水道受益者負担金：112400円, ,上水道、下水道、プロパンガス、電気、側溝,－,神立ニュータウン内、２面道路。 ９号バイパスも近く、東西南北どちらの方向へもアクセスのよい立地です。,267.84m²（公簿）,81.02坪,住宅用地,なし,所有権,非線引区域,１種住居,平坦,60%,200%,西 7.0m 公道 接面16.0m ・ 南 6.0m 公道 接面16.0m ・ 二方道路,宅地,－,－,－,更地,即時/現況渡,1979187801,2018年6月11日,2018年6月25日
雲州平田駅 10分 住宅用地,https://www.athome.co.jp/tochi/6955458534/?DOWN=1&BKLISTID=001LPC&sref=list_simple,一畑電車北松江線 / 雲州平田駅 徒歩10分 （電車ルート案内）,島根県出雲市灘分町,土地,865.8万円 ローンシミュレーター,9万円,－,－,－ / －,－,水道メーター負担金：118800円、下水道受益者負担金：127200円, ,上水道、下水道、プロパンガス,－,校区・・・灘分小学校区、向陽中学校区／ 駅南団地内。／,318.06m²（公簿）,96.21坪,住宅用地,なし,所有権,非線引区域,１種中高,平坦,60%,200%,南東 6.0m 公道 接面17.5m,宅地,－,－,－,更地,即時/現況渡,6955458534,34.53万円,2018年4月24日,2018年7月3日
出雲市駅 23分 住宅用地,https://www.athome.co.jp/tochi/6964005823/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 出雲市駅 徒歩23分 [バス利用可] バス 天神団地入口 停歩100ｍ （電車ルート案内）,島根県出雲市天神町,土地,922万円 ローンシミュレーター,13万円,－,－,－ / －,－,－, ,上水道、下水道、プロパンガス、電気,整形地,既存建物取壊し後の引き渡しとなります。／ 分筆後の引き渡しとなります。／若干の面積の増減は可能です。 他所在地：島根県出雲市天神町866-10,234.50m²,70.93坪,住宅用地,なし,所有権,非線引区域,１種中高、近隣商業,平坦,60%,200%,東 4.0m 公道 接面21.5m,宅地,－,－,－,建物有,相談/更地渡,6964005823,売買代金の3%,2018年6月8日,2018年7月6日
大津町駅 21分 住宅用地,https://www.athome.co.jp/tochi/6956702260/?DOWN=1&BKLISTID=001LPC&sref=list_simple,一畑電車北松江線 / 大津町駅 徒歩21分 （電車ルート案内）,ＪＲ山陰本線 / 出雲市駅 徒歩37分 （電車ルート案内）,島根県出雲市中野町,土地,1225.1万円 ローンシミュレーター,10万円,－,－,－ / －,－,下水道負担金：162000円, ,下水道,－,水道引込み無し 法令等制限：地目が田の為、農振除外申請必要　(負担なし),405.00m²（公簿）,122.51坪,住宅用地,－,所有権,非線引区域,無指定,平坦,70%,200%,西 4.0m 公道 接面18.5m ・ 南 4.0m 公道 接面20.0m ・ 二方道路,田,－,－,－,更地,相談/現況渡,6956702260,2018年4月3日,2018年6月26日
浜田駅 25分 住宅用地,https://www.athome.co.jp/tochi/6965859710/?DOWN=1&BKLISTID=001LPC&sref=list_simple,ＪＲ山陰本線 / 浜田駅 徒歩25分 （電車ルート案内）,島根県浜田市長沢町,土地,1350万円 ローンシミュレーター,9.94万円,－,－,－ / －,－,－, ,－,－,広めの住宅用地をお探しの方におススメ 人気の石見小学校・浜田第一中学校のエリアです！,449.19m²（公簿）,135.87坪,住宅用地,なし,所有権,非線引区域,無指定,－,70%,200%,東 4.2m 接面27.0m,宅地,－,－,－,更地,相談/相談,6965859710,売買代金の3.24%+6.48万円,2018年5月25日,2018年7月6日
